"Match Number","Team Number","Move in Auto","Auto L4 Score","Auto L3 Score","Auto L2 Score","Auto L1 Score","Auto Coral Missed","Auto Barge Algae","Auto Procescer Algae","Auto Algae Missed","L4 Score","L3 Score","L2 Score","L1 Score","Coral Missed","Barge Algae","Procescer Algae","Algae Missed","Barge"
"4028","4028","Yes","3","","","","","","","","9","6","","","3","1","","",""
"53","34","Yes","","","","","","","","","","","","","","","","","Park"
"53","4028","Yes","3","","","","","","","","8","6","","","","1","","",""
"53","2220","Yes","","","","","","","","","5","","","","3","","","","Park"
"52","2190","Yes","","","","","","","","","","","","","","","1","1","Park"
"52","2973","Yes","","","","","","","","","","","","","3","","","",""
"52","2190","","","","","","","","","","","","","","","","","","Park"
"52","2190","Yes","","","","","","","","","","","","","","","","","Park"
"52","7111","","","","","","","","","","","","","","","","","",""
"51","9097","Yes","","","","","","","","","3","","","2","1","","","","Park"
"51","5005","Yes","","","","","","","","","","","2","0","","","","","Park"
"51","9097","","0","","","","","","","","3","","2","","1","","","","Park"
"51","10011","Yes","","","","","","","","","","2","1","","","","","","Park"
"50","744","","","","","","","","","","","","","","2","","","",""
"50","4265","Yes","2","","","","1","","","","4","","","","1","","","",""
"3814","","","","","","","","","","","","2","3","","","","","","Park"
"744","744","Yes","","","","","","","","","","","","","2","","","",""
"50","3140","Yes","","","","","","","","","4","","","","2","","","","Park"
"49","4020","Yes","6","5","1","2","","","2","","7","4","2","2","2","0","3","","Deep"
"45","3966","Yes","","","","","1","","","","","2","3","2","2","","","","Park"
"49","3966","","","","","","1","","","","","2","3","2","2","","","","Park"
"49","3959","Yes","1","","","","2","","","","","","","","","","","","Shallow"
"49","3966","Yes","","","","","1","","","","","2","3","1","3","","","","Park"
"39","7111","","","","","","","","","","","","1","","","","","",""
"39","4020","Yes","","","","","","","","","","","","","","","","",""
"39","7428","Yes","1","","","","","","","","4","4","","","3","","","","Park"
"39","4020","Yes","3","","","","","","","","2","6","4","2","1","","2","","Park"
"2","2783","","1","1","","","","","","","4","4","4","","1","","","",""
"2","2783","Yes","2","","","","","","","","3","4","4","0","2","","","2","Park"
"2","2190","Yes","","","","","","","","","","","","","1","","2","1","Park"
"","34","","","","","","","","","","","1","","1","1","","","",""
"1","4020","Yes","3","","","","","","","0","3","5","5","","","0","1","3","Deep"
"1","5045","Yes","","0","","","2","","","","","","","5","6","","","",""
